country,year,kind,coverage,source_version,columns
AL,2015,load,0.0,2019,
AL,2015,wind,0.0,19,
AL,2015,solar,0.0,19,
AT,2015,load,1.0,2019,AT_load_actual_entsoe_transparency
AT,2015,wind,1.0,19,AT_wind_onshore_generation_actual
AT,2015,solar,0.9992009132420091,19,AT_solar_generation_actual
BA,2015,load,1.0,2019,BA_load_actual_entsoe_power_statistics
BA,2015,wind,0.0,19,
BA,2015,solar,0.0,19,
BE,2015,load,1.0,2019,BE_load_actual_entsoe_transparency
BE,2015,wind,1.0,19,BE_wind_onshore_generation_actual|BE_wind_offshore_generation_actual
BE,2015,solar,1.0,19,BE_solar_generation_actual
BG,2015,load,1.0,2019,BG_load_actual_entsoe_transparency
BG,2015,wind,1.0,19,BG_wind_onshore_generation_actual
BG,2015,solar,0.9992009132420091,19,BG_solar_generation_actual
CH,2015,load,1.0,2019,CH_load_actual_entsoe_transparency
CH,2015,wind,0.9998858447488584,20,CH_wind_onshore_generation_actual
CH,2015,solar,0.9998858447488584,20,CH_solar_generation_actual
CZ,2015,load,1.0,2019,CZ_load_actual_entsoe_transparency
CZ,2015,wind,1.0,19,CZ_wind_onshore_generation_actual
CZ,2015,solar,1.0,19,CZ_solar_generation_actual
DE,2015,load,1.0,2019,DE_load_actual_entsoe_transparency
DE,2015,wind,1.0,19,DE_wind_generation_actual
DE,2015,solar,1.0,19,DE_solar_generation_actual
DK,2015,load,1.0,2019,DK_load_actual_entsoe_transparency
DK,2015,wind,1.0,19,DK_wind_onshore_generation_actual|DK_wind_offshore_generation_actual
DK,2015,solar,0.9995433789954338,19,DK_solar_generation_actual
EE,2015,load,0.9995433789954338,2019,EE_load_actual_entsoe_power_statistics
EE,2015,wind,0.9969178082191781,19,EE_wind_onshore_generation_actual
EE,2015,solar,0.9969178082191781,19,EE_solar_generation_actual
ES,2015,load,1.0,2019,ES_load_actual_entsoe_power_statistics
ES,2015,wind,0.9993150684931507,19,ES_wind_onshore_generation_actual
ES,2015,solar,0.9993150684931507,19,ES_solar_generation_actual
FI,2015,load,1.0,2019,FI_load_actual_entsoe_power_statistics
FI,2015,wind,0.9995433789954338,19,FI_wind_onshore_generation_actual
FI,2015,solar,0.0,19,
FR,2015,load,1.0,2019,FR_load_actual_entsoe_transparency
FR,2015,wind,1.0,19,FR_wind_onshore_generation_actual
FR,2015,solar,1.0,19,FR_solar_generation_actual
GB,2015,load,1.0,2019,GB_GBN_load_actual_entsoe_transparency
GB,2015,wind,1.0,19,GB_GBN_wind_generation_actual
GB,2015,solar,1.0,19,GB_GBN_solar_generation_actual
GR,2015,load,1.0,2019,GR_load_actual_entsoe_transparency
GR,2015,wind,0.9994292237442922,19,GR_wind_onshore_generation_actual
GR,2015,solar,0.9994292237442922,19,GR_solar_generation_actual
HR,2015,load,1.0,2019,HR_load_actual_entsoe_transparency
HR,2015,wind,0.0,19,
HR,2015,solar,0.0,19,
HU,2015,load,1.0,2019,HU_load_actual_entsoe_transparency
HU,2015,wind,0.9490867579908676,19,HU_wind_onshore_generation_actual
HU,2015,solar,0.0,19,
IE,2015,load,0.9997716894977169,2019,IE_load_actual_entsoe_power_statistics
IE,2015,wind,1.0,19,IE_wind_onshore_generation_actual
IE,2015,solar,0.0,19,
IT,2015,load,1.0,2019,IT_load_actual_entsoe_transparency
IT,2015,wind,0.9970319634703196,19,IT_wind_onshore_generation_actual
IT,2015,solar,0.9961187214611872,19,IT_solar_generation_actual
LT,2015,load,1.0,2019,LT_load_actual_entsoe_power_statistics
LT,2015,wind,0.9755707762557078,19,LT_wind_onshore_generation_actual
LT,2015,solar,0.9738584474885845,19,LT_solar_generation_actual
LU,2015,load,1.0,2019,LU_load_actual_entsoe_transparency
LU,2015,wind,0.0,19,
LU,2015,solar,0.0,19,
