a,b,ac_s_nom_mw,dc_p_nom_mw,total_nominal_mw
AL,GR,1787.476,0.0,1787.476
AL,ME,2279.032,0.0,2279.032
AL,XK,2279.032,0.0,2279.032
AT,CH,4379.317,0.0,4379.317
AT,CZ,4379.317,0.0,4379.317
AT,DE,9026.756,0.0,9026.756
AT,HU,4379.317,0.0,4379.317
AT,IT,983.112,0.0,983.112
AT,SI,3887.761,0.0,3887.761
BA,HR,6032.732,0.0,6032.732
BA,ME,4066.5080000000003,0.0,4066.5080000000003
BA,RS,2279.032,0.0,2279.032
BE,DE,0.0,1000.0,1000.0
BE,FR,6870.613,0.0,6870.613
BE,GB,0.0,1000.0,1000.0
BE,LU,983.112,0.0,983.112
BE,NL,10188.616,0.0,10188.616
BG,GR,1787.476,0.0,1787.476
BG,MK,1787.476,0.0,1787.476
BG,RO,7149.905000000001,0.0,7149.905000000001
BG,RS,1787.476,0.0,1787.476
CH,DE,21628.467,0.0,21628.467
CH,FR,13651.849,0.0,13651.849
CH,IT,10456.738,0.0,10456.738
CZ,DE,6792.411,0.0,6792.411
CZ,PL,4558.064,0.0,4558.064
CZ,SK,6345.54,0.0,6345.54
DE,DK,10188.616,600.0,10788.616
DE,FR,8959.725,0.0,8959.725
DE,LU,1966.224,0.0,1966.224
DE,NL,13584.821,0.0,13584.821
DE,NO,0.0,1400.0,1400.0
DE,PL,6971.158,0.0,6971.158
DE,SE,0.0,600.0,600.0
DK,GB,0.0,1400.0,1400.0
DK,NL,0.0,700.0,700.0
DK,NO,0.0,1640.0,1640.0
DK,SE,3574.952,680.0,4254.952
EE,FI,0.0,1000.0,1000.0
EE,LV,3318.0029999999997,0.0,3318.0029999999997
ES,FR,4580.408,2000.0,6580.408
ES,PT,16444.78,0.0,16444.78
FI,NO,983.112,0.0,983.112
FI,SE,3574.952,1300.0,4874.952
FR,GB,0.0,4000.0,4000.0
FR,IT,5865.156000000001,600.0,6465.156000000001
FR,LU,502.728,0.0,502.728
GB,IE,1843.336,500.0,2343.3360000000002
GB,NL,0.0,1000.0,1000.0
GB,NO,0.0,1400.0,1400.0
GR,IT,0.0,500.0,500.0
GR,MK,3574.952,0.0,3574.952
HR,HU,7149.904,0.0,7149.904
HR,RS,1787.476,0.0,1787.476
HR,SI,6345.54,0.0,6345.54
HU,RO,3574.952,0.0,3574.952
HU,RS,1787.476,0.0,1787.476
HU,SI,3574.953,0.0,3574.953
HU,SK,8937.381000000001,0.0,8937.381000000001
HU,UA,8174.5869999999995,0.0,8174.5869999999995
IT,ME,0.0,1200.0,1200.0
IT,SI,5719.924,0.0,5719.924
LT,LV,4424.004,0.0,4424.004
LT,PL,3574.953,0.0,3574.953
LT,SE,0.0,700.0,700.0
MD,RO,1787.476,0.0,1787.476
MD,UA,7317.481,0.0,7317.481
ME,RS,983.112,0.0,983.112
ME,XK,1787.476,0.0,1787.476
MK,RS,1787.476,0.0,1787.476
MK,XK,2279.032,0.0,2279.032
NL,NO,0.0,700.0,700.0
NO,SE,7820.2080000000005,0.0,7820.2080000000005
PL,SE,0.0,600.0,600.0
PL,SK,3574.953,0.0,3574.953
PL,UA,2279.032,0.0,2279.032
RO,RS,10099.241,0.0,10099.241
RO,UA,7191.475,0.0,7191.475
RS,XK,2279.032,0.0,2279.032
SK,UA,1787.476,0.0,1787.476
