country,current_pypsa_eur_default,present_in_osm_v06_backbone,active_in_executed_opsd_validation,role_in_v6_v7
AL,True,True,False,passive transit
AT,True,True,True,active load+wind+solar
BA,True,True,False,passive transit
BE,True,True,False,passive transit
BG,True,True,True,active load+wind+solar
CH,True,True,True,active load+wind+solar
CZ,True,True,True,active load+wind+solar
DE,True,True,True,active load+wind+solar
DK,True,True,True,active load+wind+solar
EE,True,True,True,active load+wind+solar
ES,True,True,True,active load+wind+solar
FI,True,True,False,passive transit
FR,True,True,True,active load+wind+solar
GB,True,True,False,passive transit
GR,True,True,True,active load+wind+solar
HR,True,True,False,passive transit
HU,True,True,False,passive transit
IE,True,True,False,passive transit
IT,True,True,False,passive transit
LT,True,True,False,passive transit
LU,True,True,False,passive transit
LV,True,True,False,passive transit
MD,False,True,False,passive transit
ME,True,True,False,passive transit
MK,True,True,False,passive transit
NL,True,True,False,passive transit
NO,True,True,False,passive transit
PL,True,True,False,passive transit
PT,True,True,False,passive transit
RO,True,True,True,active load+wind+solar
RS,True,True,False,passive transit
SE,True,True,False,passive transit
SI,True,True,True,active load+wind+solar
SK,True,True,False,passive transit
UA,False,True,False,passive transit
XK,True,True,False,passive transit
