test,value,year,reference_eue_gwh,h2_eue_gwh,fraction_avoided
transmission_derate,0.2,2016,93.41159640396455,0.0,1.0
transmission_derate,0.2,2017,233.73465384213,0.0,1.0
transmission_derate,0.2,2019,45.06419102018247,0.0,1.0
transmission_derate,0.35,2016,59.687331814697416,0.0,1.0
transmission_derate,0.35,2017,99.45171277635625,0.0,1.0
transmission_derate,0.35,2019,4.710965753687462,0.0,1.0
transmission_derate,0.5,2016,51.628249758885744,0.0,1.0
transmission_derate,0.5,2017,66.55425820336328,0.0,1.0
transmission_derate,0.5,2019,0.0,0.0,
h2_geography,national,2016,59.687331814697416,0.0,1.0
h2_geography,national,2017,99.45171277635625,0.0,1.0
h2_geography,national,2019,4.710965753687462,0.0,1.0
vre_energy_share,0.6,2016,263.05127172980315,0.0,1.0
vre_energy_share,0.6,2017,353.81338645540444,0.0,1.0
vre_energy_share,0.6,2019,34.605656107895626,0.0,1.0
vre_energy_share,0.8,2016,4.053835624863134,0.0,1.0
vre_energy_share,0.8,2017,6.511091729372512,0.0,1.0
vre_energy_share,0.8,2019,1.2959244909587122,0.0,1.0
