year,reference_eue_gwh,eue_gwh,storage_twh,reconversion_gw,eue_avoided_gwh
1999,49.94049749999991,49.9404974999999,1.0,0.0,7.105427357601002e-15
1999,49.94049749999991,0.0,1.0,3.0,49.94049749999991
1999,49.94049749999991,0.0,1.0,9.0,49.94049749999991
1999,49.94049749999991,0.0,1.0,15.0,49.94049749999991
2000,343.33071249999966,343.3307124999996,1.0,0.0,5.684341886080802e-14
2000,343.33071249999966,224.42865999999967,1.0,3.0,118.9020525
2000,343.33071249999966,0.0,1.0,9.0,343.33071249999966
2000,343.33071249999966,0.0,1.0,15.0,343.33071249999966
2001,109.7629324999992,109.76293249999928,1.0,0.0,-8.526512829121202e-14
2001,109.7629324999992,0.0,1.0,3.0,109.7629324999992
2001,109.7629324999992,0.0,1.0,9.0,109.7629324999992
2001,109.7629324999992,0.0,1.0,15.0,109.7629324999992
2002,360.12897999999944,360.1289799999995,1.0,0.0,-5.684341886080802e-14
2002,360.12897999999944,106.83536249999958,1.0,3.0,253.29361749999987
2002,360.12897999999944,52.66533999999962,1.0,9.0,307.4636399999998
2002,360.12897999999944,52.66533999999948,1.0,15.0,307.46363999999994
2003,254.5643174999996,254.5643174999995,1.0,0.0,8.526512829121202e-14
2003,254.5643174999996,5.510804999999607,1.0,3.0,249.05351249999998
2003,254.5643174999996,0.0,1.0,9.0,254.5643174999996
2003,254.5643174999996,0.0,1.0,15.0,254.5643174999996
2004,0.0,0.0,1.0,0.0,0.0
2004,0.0,0.0,1.0,3.0,0.0
2004,0.0,0.0,1.0,9.0,0.0
2004,0.0,0.0,1.0,15.0,0.0
2005,0.0,0.0,1.0,0.0,0.0
2005,0.0,0.0,1.0,3.0,0.0
2005,0.0,0.0,1.0,9.0,0.0
2005,0.0,0.0,1.0,15.0,0.0
2006,1159.4320724999989,1159.432072499999,1.0,0.0,-2.2737367544323206e-13
2006,1159.4320724999989,717.6415499999989,1.0,3.0,441.79052249999995
2006,1159.4320724999989,633.6993816523534,1.0,9.0,525.7326908476455
2006,1159.4320724999989,633.6993816523532,1.0,15.0,525.7326908476457
2007,0.0,0.0,1.0,0.0,0.0
2007,0.0,0.0,1.0,3.0,0.0
2007,0.0,0.0,1.0,9.0,0.0
2007,0.0,0.0,1.0,15.0,0.0
2008,215.77808999999965,215.7780899999996,1.0,0.0,5.684341886080802e-14
2008,215.77808999999965,68.7622224999998,1.0,3.0,147.01586749999984
2008,215.77808999999965,0.0,1.0,9.0,215.77808999999965
2008,215.77808999999965,0.0,1.0,15.0,215.77808999999965
2009,468.9206874999993,468.9206874999992,1.0,0.0,1.1368683772161603e-13
2009,468.9206874999993,142.64570999999944,1.0,3.0,326.27497749999986
2009,468.9206874999993,37.00069075761692,1.0,9.0,431.9199967423824
2009,468.9206874999993,37.000690757616496,1.0,15.0,431.9199967423828
2010,185.7021424999996,185.70214249999964,1.0,0.0,-2.842170943040401e-14
2010,185.7021424999996,31.993787499999755,1.0,3.0,153.70835499999987
2010,185.7021424999996,0.0,1.0,9.0,185.7021424999996
2010,185.7021424999996,0.0,1.0,15.0,185.7021424999996
2011,0.0,0.0,1.0,0.0,0.0
2011,0.0,0.0,1.0,3.0,0.0
2011,0.0,0.0,1.0,9.0,0.0
2011,0.0,0.0,1.0,15.0,0.0
2012,318.72865249999967,318.7286524999997,1.0,0.0,-5.684341886080802e-14
2012,318.72865249999967,200.9587599999997,1.0,3.0,117.76989249999997
2012,318.72865249999967,0.0,1.0,9.0,318.72865249999967
2012,318.72865249999967,0.0,1.0,15.0,318.72865249999967
2013,0.0,0.0,1.0,0.0,0.0
2013,0.0,0.0,1.0,3.0,0.0
2013,0.0,0.0,1.0,9.0,0.0
2013,0.0,0.0,1.0,15.0,0.0
2014,0.0,0.0,1.0,0.0,0.0
2014,0.0,0.0,1.0,3.0,0.0
2014,0.0,0.0,1.0,9.0,0.0
2014,0.0,0.0,1.0,15.0,0.0
2015,0.0,0.0,1.0,0.0,0.0
2015,0.0,0.0,1.0,3.0,0.0
2015,0.0,0.0,1.0,9.0,0.0
2015,0.0,0.0,1.0,15.0,0.0
2016,44.45402249999961,44.4540224999996,1.0,0.0,7.105427357601002e-15
2016,44.45402249999961,0.0,1.0,3.0,44.45402249999961
2016,44.45402249999961,0.0,1.0,9.0,44.45402249999961
2016,44.45402249999961,0.0,1.0,15.0,44.45402249999961
2017,247.39833999999945,247.3983399999995,1.0,0.0,-5.684341886080802e-14
2017,247.39833999999945,82.1259199999995,1.0,3.0,165.27241999999995
2017,247.39833999999945,0.0,1.0,9.0,247.39833999999945
2017,247.39833999999945,0.0,1.0,15.0,247.39833999999945
