year,reference_eue_gwh,eue_gwh,storage_twh,reconversion_gw,eue_avoided_gwh
1999,49.94049749999991,332.9301888888884,0.0,15.0,-282.98969138888845
1999,49.94049749999991,0.0,0.5,15.0,49.94049749999991
1999,49.94049749999991,0.0,1.0,15.0,49.94049749999991
1999,49.94049749999991,0.0,2.0,15.0,49.94049749999991
2000,343.33071249999966,624.4052222222218,0.0,15.0,-281.07450972222216
2000,343.33071249999966,180.0344804999996,0.5,15.0,163.29623200000006
2000,343.33071249999966,0.0,1.0,15.0,343.33071249999966
2000,343.33071249999966,0.0,2.0,15.0,343.33071249999966
2001,109.7629324999992,1030.3465572222208,0.0,15.0,-920.5836247222215
2001,109.7629324999992,135.09811305555485,0.5,15.0,-25.335180555555652
2001,109.7629324999992,0.0,1.0,15.0,109.7629324999992
2001,109.7629324999992,0.0,2.0,15.0,109.7629324999992
2002,360.12897999999944,1088.447521944443,0.0,15.0,-728.3185419444435
2002,360.12897999999944,327.6653399999995,0.5,15.0,32.46363999999994
2002,360.12897999999944,52.66533999999948,1.0,15.0,307.46363999999994
2002,360.12897999999944,0.0,2.0,15.0,360.12897999999944
2003,254.5643174999996,857.6592916666659,0.0,15.0,-603.0949741666664
2003,254.5643174999996,225.44348949999957,0.5,15.0,29.120828000000017
2003,254.5643174999996,0.0,1.0,15.0,254.5643174999996
2003,254.5643174999996,0.0,2.0,15.0,254.5643174999996
2004,0.0,0.0,0.0,15.0,0.0
2004,0.0,0.0,0.5,15.0,0.0
2004,0.0,0.0,1.0,15.0,0.0
2004,0.0,0.0,2.0,15.0,0.0
2005,0.0,219.7732997222214,0.0,15.0,-219.7732997222214
2005,0.0,0.0,0.5,15.0,0.0
2005,0.0,0.0,1.0,15.0,0.0
2005,0.0,0.0,2.0,15.0,0.0
2006,1159.4320724999989,2632.151744166664,0.0,15.0,-1472.719671666665
2006,1159.4320724999989,1250.1767611666646,0.5,15.0,-90.74468866666575
2006,1159.4320724999989,633.6993816523532,1.0,15.0,525.7326908476457
2006,1159.4320724999989,0.0,2.0,15.0,1159.4320724999989
2007,0.0,248.5943905555545,0.0,15.0,-248.5943905555545
2007,0.0,0.0,0.5,15.0,0.0
2007,0.0,0.0,1.0,15.0,0.0
2007,0.0,0.0,2.0,15.0,0.0
2008,215.77808999999965,766.5761780555546,0.0,15.0,-550.7980880555549
2008,215.77808999999965,157.71914259833767,0.5,15.0,58.05894740166198
2008,215.77808999999965,0.0,1.0,15.0,215.77808999999965
2008,215.77808999999965,0.0,2.0,15.0,215.77808999999965
2009,468.9206874999993,1588.625969999998,0.0,15.0,-1119.7052824999987
2009,468.9206874999993,330.44481694444346,0.5,15.0,138.47587055555584
2009,468.9206874999993,37.000690757616496,1.0,15.0,431.9199967423828
2009,468.9206874999993,0.0,2.0,15.0,468.9206874999993
2010,185.7021424999996,1182.8139138888869,0.0,15.0,-997.1117713888873
2010,185.7021424999996,17.57291316204962,0.5,15.0,168.12922933795
2010,185.7021424999996,0.0,1.0,15.0,185.7021424999996
2010,185.7021424999996,0.0,2.0,15.0,185.7021424999996
2011,0.0,161.1789519444435,0.0,15.0,-161.1789519444435
2011,0.0,0.0,0.5,15.0,0.0
2011,0.0,0.0,1.0,15.0,0.0
2011,0.0,0.0,2.0,15.0,0.0
2012,318.72865249999967,864.7022419444435,0.0,15.0,-545.9735894444439
2012,318.72865249999967,176.5278844667587,0.5,15.0,142.20076803324096
2012,318.72865249999967,0.0,1.0,15.0,318.72865249999967
2012,318.72865249999967,0.0,2.0,15.0,318.72865249999967
2013,0.0,0.0,0.0,15.0,0.0
2013,0.0,0.0,0.5,15.0,0.0
2013,0.0,0.0,1.0,15.0,0.0
2013,0.0,0.0,2.0,15.0,0.0
2014,0.0,65.17660777777745,0.0,15.0,-65.17660777777745
2014,0.0,0.0,0.5,15.0,0.0
2014,0.0,0.0,1.0,15.0,0.0
2014,0.0,0.0,2.0,15.0,0.0
2015,0.0,427.6088252777765,0.0,15.0,-427.6088252777765
2015,0.0,0.0,0.5,15.0,0.0
2015,0.0,0.0,1.0,15.0,0.0
2015,0.0,0.0,2.0,15.0,0.0
2016,44.45402249999961,418.9407347222218,0.0,15.0,-374.4867122222222
2016,44.45402249999961,0.0,0.5,15.0,44.45402249999961
2016,44.45402249999961,0.0,1.0,15.0,44.45402249999961
2016,44.45402249999961,0.0,2.0,15.0,44.45402249999961
2017,247.39833999999945,975.310596666665,0.0,15.0,-727.9122566666656
2017,247.39833999999945,281.71833833333216,0.5,15.0,-34.319998333332705
2017,247.39833999999945,0.0,1.0,15.0,247.39833999999945
2017,247.39833999999945,0.0,2.0,15.0,247.39833999999945
