scenario,success,objective_eur,electricity_demand_twh,eue_gwh,eue_twh,lole_h,max_shortfall_gw,dr_gwh,h2_demand_twh,thermal_twh,vre_twh,battery_discharge_twh,electrolysis_twh_el,fuelcell_twh_el,h2_inventory_max_twh,h2_import_twh,year,h2_storage_gwh,fuelcell_total_gw
S500_P15,True,26390507742.79527,1292.7327200000002,0.0,0.0,0,0.0,0.0,43.8,858.9804650484838,466.67730700000004,19.413064181371954,62.255299501098236,0.563098602434903,0.5,0.0,1999,500.0,15.0
S2000_P15,True,25714400713.618053,1292.7327200000002,0.0,0.0,0,0.0,0.0,43.8,861.2929044770558,466.67730700000004,24.233434375493044,65.34653740958571,1.787228814195923,2.0,0.0,1999,2000.0,15.0
S500_P15,True,27709101927.637592,1286.55522,180.0344804999996,0.1800344804999996,9,41.59,0.0,43.8,859.3840732400727,459.111554,20.501147958888886,61.78965990335487,0.3787053217285321,0.5,0.0,2000,500.0,15.0
S2000_P15,True,25457230909.29103,1286.55522,0.0,0.0,0,0.0,0.0,43.8,857.47627986034,459.111554,24.090019466019537,64.07755828697073,1.2847130816403882,2.0,0.0,2000,2000.0,15.0
S500_P15,True,30886501097.39652,1301.46916,135.09811305555485,0.13509811305555486,11,22.811,0.0,43.8,889.187727045059,442.11599800000005,18.07025429527777,61.36377936543062,0.21005662871052636,0.5,0.0,2001,500.0,15.0
S2000_P15,True,29019016484.135216,1301.46916,0.0,0.0,0,0.0,0.0,43.8,893.5314233589734,442.11599800000005,20.499658952499995,64.72417023197805,1.5407714118632907,2.0,0.0,2001,2000.0,15.0
S500_P15,True,30706031193.65132,1283.6579199999999,327.6653399999995,0.3276653399999995,22,35.831999999999994,0.0,43.8,870.7407333694839,446.85279499999996,17.071671889166666,62.21486002183189,0.5470845686454295,0.5,0.0,2002,500.0,15.0
S2000_P15,True,26911748760.552315,1283.6579199999999,0.0,0.0,0,0.0,0.0,43.8,871.5451525370098,446.85279499999996,19.92461453255454,64.91316056373722,1.615611583239913,2.0,0.0,2002,2000.0,15.0
S500_P15,True,32880499457.715115,1302.8673399999998,225.44348949999954,0.22544348949999954,15,32.00699999999999,0.0,43.8,905.2133500663693,426.512185,17.05539310611111,61.17970656011289,0.1371637978047092,0.5,0.0,2003,500.0,15.0
S2000_P15,True,30185645270.335854,1302.8673399999998,0.0,0.0,0,0.0,0.0,43.8,906.4958854085297,426.512185,19.960510572881933,63.4472929499482,1.0351280081794665,2.0,0.0,2003,2000.0,15.0
S500_P15,True,29559374996.947117,1298.10004,0.0,0.0,0,0.0,0.0,43.8,887.3312747270714,443.635457,15.631480162222221,61.73949564725859,0.3588402763144044,0.5,0.0,2004,500.0,15.0
S2000_P15,True,28938236793.816372,1298.10004,0.0,0.0,0,0.0,0.0,43.8,888.2252859763869,443.635457,17.89266006814652,64.25154670405688,1.353612494806505,2.0,0.0,2004,2000.0,15.0
S500_P15,True,28324248867.148464,1299.69079,0.0,0.0,0,0.0,0.0,43.8,885.0903467862028,446.189107,20.374730830555553,61.03615376454293,0.08031689075900281,0.5,0.0,2005,500.0,15.0
S2000_P15,True,27835291079.327843,1299.69079,0.0,0.0,0,0.0,0.0,43.8,886.0123831829824,446.189107,23.092080944872915,61.468883873432624,0.2516780138793009,2.0,0.0,2005,2000.0,15.0
S500_P15,True,41867588786.95964,1293.30746,1250.1767611666646,1.2501767611666645,67,42.775,0.0,43.8,889.1905900432379,436.799462,19.583843573055553,61.04692432766389,0.08458203375490311,0.5,0.0,2006,500.0,15.0
S2000_P15,True,28980636182.716354,1293.30746,0.0,0.0,0,0.0,0.0,43.8,896.0550663949061,436.799462,25.165465892183594,67.85152336976816,2.7792032544281637,2.0,0.0,2006,2000.0,15.0
S500_P15,True,26653041567.410706,1283.1266,0.0,0.0,0,0.0,0.0,43.8,862.9786574828559,458.251473,19.415559509749617,63.49465239212065,1.0538823472797785,0.5,0.0,2007,500.0,15.0
S2000_P15,True,26019400315.593586,1283.1266,0.0,0.0,0,0.0,0.0,43.8,864.2494686735982,458.251473,23.102477605181026,68.62085285943624,3.0838577323367278,2.0,0.0,2007,2000.0,15.0
S500_P15,True,29361669915.590115,1297.59356,157.71914259833767,0.15771914259833766,12,38.46400000000001,0.0,43.8,874.185346524098,458.10164999999995,18.52001496083333,62.76841823412798,0.7662936207146813,0.5,0.0,2008,500.0,15.0
