year,reference_eue_gwh,storage_benefit_bracket_low_twh,storage_benefit_bracket_high_twh,minimum_tested_storage_zero_shortage_twh,reconversion_saturation_grid_gw
1999,49.94049749999991,0.0,0.5,0.5,3.0
2000,343.33071249999966,0.0,0.5,1.0,9.0
2001,109.7629324999992,0.5,1.0,1.0,3.0
2002,360.12897999999944,0.0,0.5,2.0,9.0
2003,254.5643174999996,0.0,0.5,1.0,9.0
2004,0.0,,,,
2005,0.0,,,,
2006,1159.4320724999989,0.5,1.0,2.0,9.0
2007,0.0,,,,
2008,215.77808999999965,0.0,0.5,1.0,9.0
2009,468.9206874999993,0.0,0.5,2.0,9.0
2010,185.7021424999996,0.0,0.5,1.0,9.0
2011,0.0,,,,
2012,318.72865249999967,0.0,0.5,1.0,9.0
2013,0.0,,,,
2014,0.0,,,,
2015,0.0,,,,
2016,44.45402249999961,0.0,0.5,0.5,3.0
2017,247.39833999999945,0.5,1.0,1.0,9.0
