scenario,success,objective_eur,electricity_demand_twh,eue_gwh,eue_twh,lole_h,max_shortfall_gw,dr_gwh,h2_demand_twh,thermal_twh,vre_twh,battery_discharge_twh,electrolysis_twh_el,fuelcell_twh_el,h2_inventory_max_twh,h2_import_twh,year
H2 + reconversion (2030 efficiency),True,26143339669.043636,1292.7327200000002,0.0,0.0,0,0.0,0.0,43.8,862.6946758744768,466.677307,21.79190331074272,66.52366093219139,1.2271949846396202,1.0,0.0,1999
H2 + reconversion (2030 efficiency),True,25847548494.2174,1286.55522,0.0,0.0,0,0.0,0.0,43.8,860.0165693680506,459.111554,22.07855379478934,65.00179501391045,0.7112391108196939,1.0,0.0,2000
H2 + reconversion (2030 efficiency),True,29423159300.266582,1301.46916,0.0,0.0,0,0.0,0.0,43.8,892.4709492216206,442.1159980000001,19.00973967435049,63.860196445630805,0.3242046948616532,1.0,0.0,2001
H2 + reconversion (2030 efficiency),True,28250668912.89097,1283.65792,88.00431085269958,0.0880043108526995,5,35.005999999999986,0.0,43.8,873.5464189339922,446.852795,17.177656381563978,66.78738922309795,1.3166063836013877,1.0,0.0,2002
H2 + reconversion (2030 efficiency),True,30585700812.817783,1302.8673399999998,0.0,0.0,0,0.0,0.0,43.8,907.7951308792564,426.512185,17.191655603325117,64.98623273702745,0.7059630558983321,1.0,0.0,2003
H2 + reconversion (2030 efficiency),True,29364558614.367317,1298.10004,0.0,0.0,0,0.0,0.0,43.8,889.4826210603304,443.635457,15.902341902951289,64.9627617746234,0.6980057314250611,1.0,0.0,2004
H2 + reconversion (2030 efficiency),True,28169371445.19926,1299.69079,0.0,0.0,0,0.0,0.0,43.8,886.5268452360602,446.189107,21.973977685888823,63.6397298632612,0.2494602467547568,1.0,0.0,2005
H2 + reconversion (2030 efficiency),True,36295631121.810265,1293.30746,703.0846508028769,0.703084650802877,36,42.06699999999999,0.0,43.8,894.1717695617104,436.799462,22.35256446443707,65.86204675285317,1.0028889416882871,1.0,0.0,2006
H2 + reconversion (2030 efficiency),True,26483006357.081093,1283.1266,0.0,0.0,0,0.0,0.0,43.8,866.9322547717805,458.251473,20.115678361652392,69.12370085812054,2.1086825426662963,1.0,0.0,2007
H2 + reconversion (2030 efficiency),True,27673818196.692654,1297.59356,0.0,0.0,0,0.0,0.0,43.8,875.8850972988737,458.10165,20.077226044990248,66.15148737610178,1.101017553344105,1.0,0.0,2008
H2 + reconversion (2030 efficiency),True,30163851306.3097,1296.75229,99.9412971389515,0.0999412971389515,6,29.961,0.0,43.8,890.5002432891235,444.65390800000006,19.861925354185697,66.31296214606242,1.155762097547463,1.0,0.0,2009
H2 + reconversion (2030 efficiency),True,34693445033.00974,1328.14114,0.0,0.0,0,0.0,0.0,43.8,948.8385934821016,409.171502,17.891562697221882,65.48903392248421,0.8764269725179253,1.0,0.0,2010
H2 + reconversion (2030 efficiency),True,27165795509.67604,1276.53025,0.0,0.0,0,0.0,0.0,43.8,869.8994714530631,446.172403,19.79566320601327,66.71056020485182,1.2905591590938,1.0,0.0,2011
H2 + reconversion (2030 efficiency),True,29374216088.84872,1300.32895,0.0,0.0,0,0.0,0.0,43.8,898.4317655077663,439.198291,19.88717776141554,68.24373380613959,1.8103486593827816,1.0,0.0,2012
H2 + reconversion (2030 efficiency),True,29277469283.499023,1312.21553,0.0,0.0,0,0.0,0.0,43.8,893.5462981603499,449.868526,20.76226460570097,64.00154943280262,0.3721273818324461,1.0,0.0,2013
H2 + reconversion (2030 efficiency),True,26294844880.348385,1272.3780499999998,0.0,0.0,0,0.0,0.0,43.8,863.0128696147584,438.111914,18.87621714526577,63.613905824782194,0.2407051625000001,1.0,0.0,2014
H2 + reconversion (2030 efficiency),True,26497518965.23152,1288.62121,0.0,0.0,0,0.0,0.0,43.8,867.9205673184209,460.059693,20.308061978522144,67.12055631597146,1.4295595133526422,1.0,0.0,2015
H2 + reconversion (2030 efficiency),True,30438379846.593952,1292.81084,0.0,0.0,0,0.0,0.0,43.8,903.2974209206524,419.607671,17.076579152034,63.744919469029945,0.2851225178584409,1.0,0.0,2016
H2 + reconversion (2030 efficiency),True,28135748170.59641,1289.24469,22.850984479268007,0.022850984479268,1,22.850984479268007,0.0,43.8,877.4245030284663,447.537844,19.19997731229091,66.60641229133476,1.2552500513204277,1.0,0.0,2017
