scenario,success,objective_eur,electricity_demand_twh,eue_gwh,eue_twh,lole_h,max_shortfall_gw,dr_gwh,h2_demand_twh,thermal_twh,vre_twh,battery_discharge_twh,electrolysis_twh_el,fuelcell_twh_el,h2_inventory_max_twh,h2_import_twh,year,h2_storage_gwh,fuelcell_total_gw,delta_eue_vs_electricity_gwh,eue_reduction_pct
S0_F0,True,56664055277.63671,1293.30746,2632.151744166664,2.632151744166664,129,49.719444444444434,0.0,43.8,888.7020942120753,436.799462,29.890473856111107,60.83333333333333,0.0,0.0,0.0,2006,0.0,0.0,1472.7196721666637,-127.0207809264969
S0_F3,True,56664055277.6363,1293.30746,2632.151744166664,2.632151744166664,128,49.719444444444434,0.0,43.8,888.7020942120753,436.799462,29.89047385611111,60.83333333333333,0.0,0.0,0.0,2006,0.0,3.0,1472.7196721666637,-127.0207809264969
S0_F9,True,56664055277.6363,1293.30746,2632.151744166664,2.632151744166664,128,49.719444444444434,0.0,43.8,888.7020942120753,436.799462,29.89047385611111,60.83333333333333,0.0,0.0,0.0,2006,0.0,9.0,1472.7196721666637,-127.0207809264969
S0_F15,True,56664055277.6363,1293.30746,2632.151744166664,2.632151744166664,128,49.719444444444434,0.0,43.8,888.7020942120753,436.799462,29.89047385611111,60.83333333333333,0.0,0.0,0.0,2006,0.0,15.0,1472.7196721666637,-127.0207809264969
S0_F24,True,56664055277.6363,1293.30746,2632.151744166664,2.632151744166664,128,49.719444444444434,0.0,43.8,888.7020942120753,436.799462,29.89047385611111,60.83333333333333,0.0,0.0,0.0,2006,0.0,24.0,1472.7196721666637,-127.0207809264969
S100_F0,True,52607654840.43192,1293.30746,2264.0259333333315,2.264025933333332,120,63.07099999999999,0.0,43.8,888.0150252199609,436.799462,17.18579962472222,60.833333333333336,0.0,0.1,0.0,2006,100.0,0.0,1104.5938613333315,-95.27025239416798
S100_F3,True,52607654840.431885,1293.30746,2264.0259333333315,2.264025933333332,112,58.93533333333326,0.0,43.8,888.0150252199609,436.799462,17.18579962472222,60.83333333333334,0.0,0.1,0.0,2006,100.0,3.0,1104.5938613333315,-95.27025239416798
S100_F9,True,52607654840.431885,1293.30746,2264.0259333333315,2.264025933333332,112,58.93533333333326,0.0,43.8,888.0150252199609,436.799462,17.18579962472222,60.83333333333334,0.0,0.1,0.0,2006,100.0,9.0,1104.5938613333315,-95.27025239416798
S100_F15,True,52607654840.431885,1293.30746,2264.0259333333315,2.264025933333332,112,58.93533333333326,0.0,43.8,888.0150252199609,436.799462,17.18579962472222,60.83333333333334,0.0,0.1,0.0,2006,100.0,15.0,1104.5938613333315,-95.27025239416798
S100_F24,True,52607654840.431885,1293.30746,2264.0259333333315,2.264025933333332,112,58.93533333333326,0.0,43.8,888.0150252199609,436.799462,17.18579962472222,60.83333333333334,0.0,0.1,0.0,2006,100.0,24.0,1104.5938613333315,-95.27025239416798
S500_F0,True,42139829338.99385,1293.30746,1277.883869166665,1.2778838691666647,77,42.775,0.0,43.8,889.0334604860749,436.799462,19.58001615305556,60.83333333333333,0.0,0.5,0.0,2006,500.0,0.0,118.45179716666485,-10.216363685915429
S500_F3,True,41867588786.95964,1293.30746,1250.1767611666646,1.2501767611666643,67,42.775,0.0,43.8,889.1905900432379,436.799462,19.583843573055557,61.04692432766389,0.0845820337549032,0.5,0.0,2006,500.0,3.0,90.74468916666456,-7.826649905425814
S500_F9,True,41867588786.95964,1293.30746,1250.1767611666646,1.2501767611666643,67,42.775,0.0,43.8,889.1905900432379,436.799462,19.583843573055557,61.04692432766389,0.084582033754903,0.5,0.0,2006,500.0,9.0,90.74468916666456,-7.826649905425814
S500_F15,True,41867588786.95964,1293.30746,1250.1767611666646,1.2501767611666643,67,42.775,0.0,43.8,889.1905900432379,436.799462,19.583843573055557,61.04692432766389,0.0845820337549031,0.5,0.0,2006,500.0,15.0,90.74468916666456,-7.826649905425814
S500_F24,True,41867588786.95964,1293.30746,1250.1767611666646,1.2501767611666643,67,42.775,0.0,43.8,889.1905900432379,436.799462,19.583843573055557,61.04692432766389,0.0845820337549031,0.5,0.0,2006,500.0,24.0,90.74468916666456,-7.826649905425814
S1000_F0,True,40620002892.48142,1293.30746,1159.432072499999,1.1594320724999991,65,42.775,0.0,43.8,889.9836798139688,436.799462,22.464045810771527,60.833333333333314,0.0,1.0,0.0,2006,1000.0,0.0,4.999990323995007e-07,-4.312447830919591e-08
S1000_F3,True,36290890671.47269,1293.30746,717.6415499999989,0.717641549999999,42,39.06699999999999,0.0,43.8,892.3152441554362,436.799462,22.77955091759762,63.84392300627779,1.1921935104860109,1.0,0.0,2006,1000.0,3.0,-441.79052200000115,38.1040453053813
S1000_F9,True,35469010941.73644,1293.30746,633.6993816523534,0.6336993816523534,32,42.06699999999999,0.0,43.8,892.4603072561767,436.799462,22.66364056807762,64.02759141750921,1.264926201333658,1.0,0.0,2006,1000.0,9.0,-525.7326903476467,45.34398375238723
S1000_F15,True,35469010941.7364,1293.30746,633.6993816523532,0.6336993816523532,32,42.06699999999999,0.0,43.8,892.4603072561767,436.799462,22.66364056807762,64.02759141750921,1.2649262013336586,1.0,0.0,2006,1000.0,15.0,-525.7326903476469,45.343983752387246
S1000_F24,True,35469010941.736336,1293.30746,633.6993816523533,0.6336993816523533,32,42.06699999999999,0.0,43.8,892.4603072561767,436.799462,22.66364056807762,64.02759141750921,1.2649262013336584,1.0,0.0,2006,1000.0,24.0,-525.7326903476468,45.343983752387246
S2000_F0,True,40338392407.36887,1293.30746,1159.432072499999,1.1594320724999991,65,42.775,0.0,43.8,890.548125773975,436.799462,24.398966598271517,60.833333333333385,0.0,2.0,0.0,2006,2000.0,0.0,4.999990323995007e-07,-4.312447830919591e-08
S2000_F3,True,35990284538.792725,1293.30746,717.6415499999989,0.717641549999999,42,39.06699999999999,0.0,43.8,893.8863502300715,436.799462,25.14336181327151,65.2855874378869,1.7630926254031738,2.0,0.0,2006,2000.0,3.0,-441.79052200000115,38.1040453053813
S2000_F9,True,29761004982.328968,1293.30746,79.37173499999952,0.0793717349999995,5,25.59373499999954,0.0,43.8,895.9348712876334,436.799462,25.475929574683597,67.69991626749542,2.719166841928168,2.0,0.0,2006,2000.0,9.0,-1080.0603370000006,93.15425742337068
S2000_F15,True,28980636182.716354,1293.30746,0.0,0.0,0,0.0,0.0,43.8,896.0550663949061,436.799462,25.165465892183597,67.85152336976816,2.779203254428164,2.0,0.0,2006,2000.0,15.0,-1159.432072,100.0
S2000_F24,True,28980636182.716354,1293.30746,0.0,0.0,0,0.0,0.0,43.8,896.0550663949061,436.799462,25.165465892183597,67.85152336976816,2.779203254428161,2.0,0.0,2006,2000.0,24.0,-1159.432072,100.0
S4000_F0,True,40068236785.575874,1293.30746,1159.432072499999,1.1594320724999991,65,42.775,0.0,43.8,891.1734851972616,436.799462,25.21947197225711,60.83333333333343,0.0,4.0,0.0,2006,4000.0,0.0,4.999990323995007e-07,-4.312447830919591e-08
S4000_F3,True,35725446393.20686,1293.30746,717.6415499999989,0.717641549999999,42,39.06699999999999,0.0,43.8,894.3175611095727,436.799462,27.301362845424983,64.93494255747281,1.6242372527591795,4.0,0.0,2006,4000.0,3.0,-441.79052200000115,38.1040453053813
