year,reference_eue_gwh,storage_benefit_bracket_low_twh,storage_benefit_bracket_high_twh,minimum_tested_storage_zero_shortage_twh,reconversion_saturation_grid_gw,annual_scarcity_energy_gwh,annual_shortage_duration_h,peak_shortfall_gw,renewable_drought_duration_h
1999,49.94049749999991,0.0,0.5,0.5,3.0,49.94049749999991,3,21.538000000000004,14
2000,343.33071249999966,0.0,0.5,1.0,9.0,343.33071249999966,21,42.60099999999999,17
2001,109.7629324999992,0.5,1.0,1.0,3.0,109.7629324999992,9,30.347,19
2002,360.12897999999944,0.0,0.5,2.0,9.0,360.12897999999944,28,34.814,19
2003,254.5643174999996,0.0,0.5,1.0,9.0,254.5643174999996,21,32.00699999999999,16
2004,0.0,,,,,0.0,0,0.0,18
2005,0.0,,,,,0.0,0,0.0,18
2006,1159.4320724999989,0.5,1.0,2.0,9.0,1159.4320724999989,66,42.06699999999999,19
2007,0.0,,,,,0.0,0,0.0,15
2008,215.77808999999965,0.0,0.5,1.0,9.0,215.77808999999965,20,37.126,18
2009,468.9206874999993,0.0,0.5,2.0,9.0,468.9206874999993,31,39.645,17
2010,185.7021424999996,0.0,0.5,1.0,9.0,185.7021424999996,14,34.01599999999999,19
2011,0.0,,,,,0.0,0,0.0,17
2012,318.72865249999967,0.0,0.5,1.0,9.0,318.72865249999967,17,39.343,17
2013,0.0,,,,,0.0,0,0.0,16
2014,0.0,,,,,0.0,0,0.0,16
2015,0.0,,,,,0.0,0,0.0,17
2016,44.45402249999961,0.0,0.5,0.5,3.0,44.45402249999961,7,11.958999999999987,18
2017,247.39833999999945,0.5,1.0,1.0,9.0,247.39833999999945,19,36.457,17
