scenario,success,objective_eur,electricity_demand_twh,eue_gwh,eue_twh,lole_h,max_shortfall_gw,dr_gwh,h2_demand_twh,thermal_twh,vre_twh,battery_discharge_twh,year
Electricity only,True,29463158016.117798,1320.4242399999998,333.1607849999996,0.3331607849999995,21,39.493,0.0,0.0,836.7378182912743,459.235488,29.9752749125,1980
Electricity only,True,26382594454.847103,1311.9389,0.0,0.0,0,0.0,0.0,0.0,838.4490006388158,450.58893200000006,28.2943639025,1981
Electricity only,True,26495836142.7842,1301.0948500000002,0.0,0.0,0,0.0,0.0,0.0,844.7047928690305,433.558312,28.1765372425,1982
Electricity only,True,25362342990.88221,1307.75286,0.0,0.0,0,0.0,0.0,0.0,830.1208397683517,454.87250100000006,29.762033065,1983
Electricity only,True,29211247190.8682,1312.57668,209.56734499999965,0.2095673449999996,17,39.470000000000006,0.0,0.0,851.2707104145429,436.403586,28.134398325,1984
Electricity only,True,52173161248.27048,1327.91068,2302.011732499999,2.302011732499999,101,54.64699999999999,0.0,0.0,864.5513022012949,439.745334,27.7260095,1985
Electricity only,True,25180935586.87963,1321.15385,41.40240749999979,0.0414024074999997,4,16.844407499999825,0.0,0.0,823.4545039514336,477.876682,29.907855704166664,1986
Electricity only,True,41537350341.45184,1321.81022,1193.1453424999993,1.1931453424999994,67,48.56700000000001,0.0,0.0,874.8770163644529,420.621083,28.1985682275,1987
Electricity only,True,23663369307.722404,1292.5459099999998,0.0,0.0,0,0.0,0.0,0.0,805.776362634453,465.250276,28.9989552375,1988
Electricity only,True,25287202701.497585,1286.37852,58.62874249999956,0.0586287424999995,5,24.424999999999983,0.0,0.0,822.4550504034419,443.78101,29.967634132499995,1989
Electricity only,True,24556117202.63553,1285.89919,185.17905749999983,0.1851790574999998,11,36.334,0.0,0.0,793.3031427678185,476.037688,31.741539975,1990
Electricity only,True,28931372256.13367,1311.47617,107.87602749999952,0.1078760274999995,7,25.893047499999795,0.0,0.0,853.9267455062327,436.015388,29.5222452775,1991
Electricity only,True,30577199281.892017,1302.5341299999998,596.6294199999996,0.5966294199999996,35,41.15500000000001,0.0,0.0,813.2306091767729,468.770425,29.997127284999998,1992
Electricity only,True,29270602872.114403,1306.3666099999998,328.1659499999998,0.3281659499999997,17,40.567,0.0,0.0,831.4390259775,454.209593,28.231558305,1993
Electricity only,True,22345992720.885155,1291.41779,0.0,0.0,0,0.0,0.0,0.0,792.1386708093629,481.243272,31.195841247499995,1994
Electricity only,True,24880629649.984734,1299.44235,129.95791999999943,0.1299579199999994,13,20.270000000000003,0.0,0.0,809.5878105956925,468.903256,30.80748868,1995
Electricity only,True,27168401209.436127,1318.75534,20.88970499999989,0.0208897049999998,1,20.88970499999989,0.0,0.0,848.1615434405818,446.968655,29.8510112675,1996
Electricity only,True,36629348396.42544,1292.4198700000002,990.5534524999993,0.9905534524999992,49,45.428,0.0,0.0,844.1819751236982,424.903863,29.1043056,1997
Electricity only,True,26239034378.53554,1300.4379700000002,270.57019999999955,0.2705701999999995,17,34.33100000000002,0.0,0.0,803.1438557558103,479.47315,30.9780816575,1998
Electricity only,True,23898155184.276184,1292.7327200000002,49.94049749999991,0.0499404974999999,3,21.538000000000004,0.0,0.0,806.2910755285735,466.677307,31.8507414075,1999
Electricity only,True,26168619449.42252,1286.55522,343.33071249999966,0.3433307124999997,21,42.60099999999999,0.0,0.0,808.3577168988919,459.111554,33.502168645,2000
Electricity only,True,27079575669.855865,1301.46916,109.7629324999992,0.1097629324999991,9,30.347,0.0,0.0,836.9869856737118,442.1159980000001,32.267487142499995,2001
Electricity only,True,27842164833.45077,1283.65792,360.12897999999944,0.3601289799999994,28,34.814,0.0,0.0,815.5394846674516,446.852795,28.501493215,2002
Electricity only,True,29734335994.58069,1302.8673399999998,254.5643174999996,0.2545643174999996,21,32.00699999999999,0.0,0.0,853.0045058134972,426.512185,28.90730183,2003
Electricity only,True,26111654913.91844,1298.10004,0.0,0.0,0,0.0,0.0,0.0,832.5072933152977,443.635457,27.148022717499995,2004
Electricity only,True,25109487159.91543,1299.69079,0.0,0.0,0,0.0,0.0,0.0,833.7880611131579,446.189107,31.9909282925,2005
Electricity only,True,37818496642.41333,1293.30746,1159.4320724999989,1.159432072499999,66,42.06699999999999,0.0,0.0,834.1255881621261,436.799462,29.553286775,2006
Electricity only,True,23807964823.03374,1283.1266,0.0,0.0,0,0.0,0.0,0.0,806.0280978309072,458.251473,28.8421194175,2007
