storage_capex_eur_per_kwh,reconversion_capex_eur_per_kw,annualized_cost_meur,breakeven_reliability_value_eur_per_mwh
1.0,250.0,408.8804166777781,2559.9015634270127
1.0,300.0,473.6792193111115,2965.591220850715
1.0,350.0,538.4780219444449,3371.280878274418
1.0,400.0,603.2768245777783,3776.9705356981203
1.0,450.0,668.0756272111115,4182.660193121822
1.0,500.0,732.874429844445,4588.349850545525
1.0,550.0,797.6732324777784,4994.039507969227
1.0,600.0,862.4720351111117,5399.729165392931
1.0,650.0,927.2708377444451,5805.418822816632
1.0,700.0,992.0696403777786,6211.108480240336
1.0,750.0,1056.8684430111118,6616.798137664037
1.0,800.0,1121.6672456444455,7022.487795087742
1.0,850.0,1186.4660482777788,7428.177452511444
1.0,900.0,1251.264850911112,7833.867109935146
1.0,950.0,1316.0636535444455,8239.556767358848
1.0,1000.0,1380.862456177779,8645.246424782552
2.0,250.0,493.76682018888926,3091.3548397355125
2.0,300.0,558.5656228222227,3497.0444971592156
2.0,350.0,623.364425455556,3902.7341545829177
2.0,400.0,688.1632280888895,4308.42381200662
2.0,450.0,752.9620307222228,4714.113469430323
2.0,500.0,817.7608333555562,5119.803126854025
2.0,550.0,882.5596359888896,5525.492784277728
2.0,600.0,947.358438622223,5931.18244170143
2.0,650.0,1012.1572412555563,6336.872099125133
2.0,700.0,1076.9560438888898,6742.561756548836
2.0,750.0,1141.754846522223,7148.251413972537
2.0,800.0,1206.5536491555565,7553.941071396241
2.0,850.0,1271.35245178889,7959.630728819943
2.0,900.0,1336.151254422223,8365.320386243644
2.0,950.0,1400.9500570555565,8771.010043667347
2.0,1000.0,1465.74885968889,9176.69970109105
3.0,250.0,578.6532237000006,3622.808116044013
3.0,300.0,643.4520263333338,4028.497773467715
3.0,350.0,708.2508289666672,4434.1874308914175
3.0,400.0,773.0496316000006,4839.87708831512
3.0,450.0,837.8484342333339,5245.566745738823
3.0,500.0,902.6472368666674,5651.256403162525
3.0,550.0,967.4460395000007,6056.946060586228
3.0,600.0,1032.2448421333343,6462.63571800993
3.0,650.0,1097.0436447666673,6868.325375433632
3.0,700.0,1161.842447400001,7274.015032857336
3.0,750.0,1226.6412500333342,7679.704690281038
3.0,800.0,1291.4400526666677,8085.3943477047405
3.0,850.0,1356.2388553000012,8491.084005128443
3.0,900.0,1421.0376579333345,8896.773662552145
3.0,950.0,1485.8364605666677,9302.463319975848
3.0,1000.0,1550.6352632000012,9708.152977399552
4.0,250.0,663.5396272111117,4154.261392352512
4.0,300.0,728.338429844445,4559.951049776215
4.0,350.0,793.1372324777784,4965.640707199917
4.0,400.0,857.9360351111119,5371.330364623621
4.0,450.0,922.734837744445,5777.020022047322
4.0,500.0,987.5336403777785,6182.709679471025
4.0,550.0,1052.332443011112,6588.399336894728
4.0,600.0,1117.1312456444455,6994.088994318431
4.0,650.0,1181.9300482777787,7399.778651742132
4.0,700.0,1246.728850911112,7805.468309165835
4.0,750.0,1311.5276535444455,8211.157966589539
4.0,800.0,1376.326456177779,8616.84762401324
4.0,850.0,1441.1252588111124,9022.537281436944
4.0,900.0,1505.9240614444457,9428.226938860646
4.0,950.0,1570.7228640777791,9833.916596284349
4.0,1000.0,1635.5216667111124,10239.60625370805
5.0,250.0,748.4260307222228,4685.714668661012
5.0,300.0,813.2248333555563,5091.404326084715
5.0,350.0,878.0236359888896,5497.093983508417
5.0,400.0,942.8224386222229,5902.78364093212
5.0,450.0,1007.6212412555564,6308.473298355822
5.0,500.0,1072.4200438888897,6714.162955779525
5.0,550.0,1137.218846522223,7119.852613203227
5.0,600.0,1202.0176491555565,7525.54227062693
5.0,650.0,1266.81645178889,7931.231928050633
5.0,700.0,1331.6152544222234,8336.921585474336
5.0,750.0,1396.4140570555564,8742.611242898038
5.0,800.0,1461.21285968889,9148.30090032174
5.0,850.0,1526.0116623222234,9553.990557745443
5.0,900.0,1590.8104649555567,9959.680215169145
5.0,950.0,1655.6092675888901,10365.369872592848
5.0,1000.0,1720.4080702222236,10771.05953001655
6.0,250.0,833.3124342333341,5217.167944969512
6.0,300.0,898.1112368666674,5622.857602393215
6.0,350.0,962.9100395000007,6028.547259816917
6.0,400.0,1027.7088421333342,6434.23691724062
6.0,450.0,1092.5076447666675,6839.926574664321
6.0,500.0,1157.3064474000012,7245.616232088026
6.0,550.0,1222.1052500333342,7651.305889511727
6.0,600.0,1286.9040526666677,8056.99554693543
6.0,650.0,1351.7028553000011,8462.685204359133
6.0,700.0,1416.5016579333344,8868.374861782835
6.0,750.0,1481.3004605666679,9274.064519206537
6.0,800.0,1546.0992632000011,9679.75417663024
6.0,850.0,1610.8980658333346,10085.443834053944
6.0,900.0,1675.6968684666679,10491.133491477645
6.0,950.0,1740.4956711000013,10896.823148901347
6.0,1000.0,1805.2944737333348,11302.51280632505
7.0,250.0,918.1988377444451,5748.621221278011
7.0,300.0,982.9976403777786,6154.3108787017145
7.0,350.0,1047.796443011112,6560.000536125417
7.0,400.0,1112.5952456444454,6965.6901935491205
7.0,450.0,1177.3940482777787,7371.379850972821
7.0,500.0,1242.1928509111121,7777.069508396525
