t,shortage_gw,dr_gw,demand_r2,demand_r4,demand_r5,vre_dispatch_gw,thermal_gw,battery_discharge_gw,battery_charge_gw,electrolysis_gw,fuelcell_gw,h2_inventory_gwh
2006-01-01 00:00:00,0.0,0.0,37.91,57.03,31.42,58.05499999999999,93.305,0.0,0.0,30.0,0.0,822.8508000000006
2006-01-01 01:00:00,0.0,0.0,36.96,55.54,29.68,56.67099999999999,90.0,0.0,0.0,29.490999999999996,0.0,839.0843200000006
2006-01-01 02:00:00,0.0,0.0,37.0,52.78,27.94,53.885,90.0,0.0,1.1649999999999947,30.0,0.0,855.6843200000006
2006-01-01 03:00:00,0.0,0.0,37.84,51.79,27.01,51.346,90.29400000000001,0.0,0.0,30.0,0.0,872.2843200000007
2006-01-01 04:00:00,0.0,0.0,39.79,53.66,26.01,51.954,92.50600000000001,0.0,0.0,30.0,0.0,888.8843200000007
2006-01-01 05:00:00,0.0,0.0,44.78,57.93,26.79,49.64399999999999,104.85600000000001,0.0,0.0,30.0,0.0,905.4843200000007
2006-01-01 06:00:00,0.0,0.0,49.97,62.39,31.32,46.977000000000004,91.703,0.0,0.0,0.0,0.0,900.4843200000007
2006-01-01 07:00:00,0.0,0.0,52.71,64.4,36.76,44.918000000000006,110.0,0.0,0.0,6.047999999999984,0.0,899.8388800000007
2006-01-01 08:00:00,0.0,0.0,54.09,65.55,39.9,46.616,135.0,0.0,0.0,27.076000000000015,0.0,914.3336000000007
2006-01-01 09:00:00,0.0,0.0,55.38,65.77,41.98,53.227,104.90299999999998,0.0,0.0,0.0,0.0,909.3336000000007
2006-01-01 10:00:00,0.0,0.0,56.37,65.85,42.81,58.876999999999995,110.0,0.0,0.0,8.847000000000005,0.0,910.7034400000007
2006-01-01 11:00:00,0.0,0.0,55.89,65.91,43.23,63.873999999999995,126.156,0.0,0.0,30.0,0.0,927.3034400000007
2006-01-01 12:00:00,0.0,0.0,54.71,64.19,43.49,63.684,110.0,0.0,0.0,16.293999999999997,0.0,934.0351200000007
2006-01-01 13:00:00,0.0,0.0,53.49,62.11,43.15,58.230000000000004,110.0,0.0,0.0,14.480000000000015,0.0,939.4607200000007
2006-01-01 14:00:00,0.0,0.0,52.88,60.12,42.89,50.95,129.94,0.0,0.0,30.0,0.0,956.0607200000007
2006-01-01 15:00:00,0.0,0.0,53.33,59.56,43.13,43.34,110.0,0.0,0.0,2.319999999999995,0.0,952.7311200000007
2006-01-01 16:00:00,0.0,0.0,55.77,61.91,45.8,32.851000000000006,125.62899999999999,0.0,0.0,0.0,0.0,947.7311200000007
2006-01-01 17:00:00,0.0,0.0,56.57,66.18,48.18,22.735,143.195,0.0,0.0,0.0,0.0,942.7311200000007
2006-01-01 18:00:00,0.0,0.0,55.14,67.09,48.03,21.96,143.3,0.0,0.0,0.0,0.0,937.7311200000007
2006-01-01 19:00:00,0.0,0.0,51.53,63.79,46.14,21.186,155.0,0.0,0.0,19.72600000000002,0.0,946.9338400000007
2006-01-01 20:00:00,0.0,0.0,48.59,60.45,43.35,19.428000000000004,127.96200000000002,0.0,0.0,0.0,0.0,941.9338400000007
2006-01-01 21:00:00,0.0,0.0,46.77,60.84,39.82,18.337000000000003,124.09300000000002,0.0,0.0,0.0,0.0,936.9338400000007
2006-01-01 22:00:00,0.0,0.0,43.01,61.94,35.96,16.436,119.47400000000002,0.0,0.0,0.0,0.0,931.9338400000007
2006-01-01 23:00:00,0.0,0.0,39.89,59.26,32.43,15.080000000000002,111.50000000000001,0.0,0.0,0.0,0.0,926.9338400000007
